Card_id,Ssn,Bname,Address,Phone
ID000050,202-40-3427,EVELYN YOUNG,4788 South Street,(214) 864-9776
ID000051,897-56-8517,JAMES MOORE,9089 Lunder Parkway,(469) 830-4056
ID000052,923-84-7867,CLARENCE ROMERO,68501 Michigan Street,(972) 982-1803
ID000053,539-63-0143,JENNIFER SMITH,3 Cordelia Terrace,(469) 963-5598
ID000054,636-25-1591,JACK BAKER,01441 Eastlawn Place,(972) 909-1277
ID000055,622-93-5915,AMY NGUYEN,79 Rigney Circle,(214) 905-2261
ID000056,823-00-8890,MARIA STEVENS,5348 David Point,(972) 992-5831
ID000057,534-07-7079,TERESA CARPENTER,6280 Spenser Lane,(972) 908-2593
ID000058,203-68-8563,ROY ARNOLD,7548 Dunning Junction,(214) 990-9053
ID000059,457-75-1314,RANDY STEWART,5004 Emmet Park,(469) 422-2991
ID000060,524-73-0400,BRENDA FERNANDEZ,335 Forster Alley,(214) 920-6944
ID000061,344-66-8375,JANET THOMPSON,1 Chinook Place,(972) 986-8081
ID000062,716-55-3314,BILLY ORTIZ,4 Hintze Court,(469) 808-1346
ID000063,869-29-5873,EDWARD HAWKINS,96231 Northland Plaza,(972) 798-3752
ID000064,218-81-6261,MARK MORGAN,5 Miller Lane,(469) 784-6546
ID000065,913-50-1956,CAROLYN MORGAN,975 Golf View Place,(469) 674-8726
ID000066,749-40-8693,TINA WEAVER,5414 Green Ridge Street,(469) 840-0879
ID000067,992-92-6136,ERIC TAYLOR,6 Fisk Pass,(214) 714-7652
ID000068,378-07-1662,RUTH HENRY,84 Hermina Street,(972) 934-2054
ID000069,388-44-9990,PHILLIP PERKINS,84771 Bartelt Trail,(214) 917-4226
ID000070,288-23-0361,ANNIE WELCH,80 Stuart Road,(972) 516-1320
ID000071,509-44-1761,LOIS HUNTER,49 Blaine Lane,(972) 809-1141
ID000072,704-79-5907,LISA COOK,4412 Lakewood Gardens Plaza,(972) 653-9871
ID000073,948-30-8402,KATHLEEN HARVEY,13 Grayhawk Hill,(469) 547-7753
ID000074,651-57-6305,DIANE STEVENS,0091 American Circle,(469) 942-1364
ID000075,908-63-2676,SAMUEL YOUNG,0157 Holmberg Street,(469) 918-5729
ID000076,727-25-3782,MARK RILEY,4900 Thompson Court,(972) 767-2036
ID000077,775-32-5935,BONNIE ROSS,0 Walton Court,(972) 766-6908
ID000078,402-35-0549,ELIZABETH ARNOLD,952 Sage Pass,(214) 967-2424
ID000079,270-86-6950,JOHN WALKER,2 Packers Crossing,(469) 796-5094
ID000080,982-11-9636,WILLIAM SIMMONS,1232 Hayes Crossing,(972) 903-7706
ID000081,757-38-5276,LISA KELLEY,3718 Twin Pines Way,(972) 900-0487
ID000082,980-24-2372,CARL LARSON,096 Goodland Parkway,(469) 550-2228
ID000083,444-73-4007,BRANDON ANDERSON,8 Leroy Circle,(469) 993-9270
ID000084,278-33-4174,GLORIA MYERS,03 Elmside Center,(469) 853-3967
ID000085,772-25-9640,DANIEL FREEMAN,9584 Elka Place,(972) 769-9270
ID000086,232-98-4647,JUDITH MITCHELL,2506 Merchant Terrace,(972) 902-9669
ID000087,937-38-5159,ALAN KING,958 Burrows Street,(214) 583-5636
ID000088,327-80-3166,STEVE PHILLIPS,45557 Jana Court,(972) 937-9620
ID000089,405-92-7423,BRENDA BUTLER,5 Calypso Avenue,(972) 892-6177
ID000090,133-37-8900,PATRICIA SPENCER,65143 Union Lane,(214) 909-9264
ID000091,227-64-6193,LARRY OLSON,50299 Lien Parkway,(972) 965-7073
ID000092,272-41-6460,VICTOR SULLIVAN,272 Milwaukee Point,(972) 759-4852
ID000093,318-95-0284,KATHRYN TAYLOR,2952 Thackeray Point,(214) 862-0958
ID000094,729-22-8562,RACHEL LITTLE,755 Kropf Pass,(972) 797-7226
ID000095,783-54-9793,DONALD RICHARDSON,951 Chive Avenue,(972) 934-6450
ID000096,131-52-5777,STEPHEN CHAPMAN,0 Lunder Alley,(214) 987-1376
ID000097,335-18-5473,HAROLD RICHARDSON,76743 Burrows Court,(469) 899-1924
ID000098,933-15-2171,ERNEST PALMER,6 Upham Drive,(972) 942-2638
ID000099,595-38-3883,PAMELA MATTHEWS,2 Green Lane,(214) 944-0666
ID000100,808-44-7643,JASON CAMPBELL,6 Raven Court,(972) 811-4885
ID000101,924-16-0243,JOYCE FULLER,45900 Iowa Way,(469) 906-3524
ID000102,348-53-9608,ANDREA BAILEY,33 Cardinal Alley,(972) 846-5566
ID000103,379-16-0722,DENISE PERRY,68 Old Shore Lane,(214) 991-3418
ID000104,997-92-4787,MICHAEL JACOBS,0 Brentwood Place,(469) 924-9727
ID000105,664-95-5489,CATHERINE REID,41544 Anniversary Crossing,(214) 948-8236
ID000106,424-12-2851,AARON ROMERO,844 Union Way,(972) 535-5154
ID000107,295-19-3279,JOHN WARREN,9127 Farragut Center,(469) 923-5725
ID000108,806-92-2733,STEVE GARRETT,729 Kenwood Court,(214) 703-1311
ID000109,466-92-6624,JIMMY ELLIS,8 Nevada Place,(972) 742-8738
ID000110,454-64-8101,JOSE PEREZ,4463 Commercial Circle,(469) 852-3133
ID000111,909-18-6864,KATHERINE DEAN,4978 Cordelia Way,(972) 886-7232
ID000112,203-54-9198,ASHLEY JACKSON,676 David Road,(469) 976-0450
ID000113,177-45-8737,KATHRYN HART,29 Dexter Circle,(972) 900-3590
ID000114,279-96-6074,DENNIS RUIZ,18784 Browning Circle,(972) 974-1505
ID000115,561-91-3511,SHARON COX,4 Hoffman Street,(214) 915-0820
ID000116,325-12-4236,RUBY BURKE,5 Swallow Avenue,(972) 928-8965
ID000117,537-25-0563,JERRY STEWART,54494 Kenwood Trail,(469) 817-5662
ID000118,508-36-5238,HOWARD FISHER,2 Reinke Lane,(972) 325-6683
ID000119,663-89-7131,ERIC PHILLIPS,578 Westend Pass,(972) 893-0831
ID000120,582-89-0521,ALBERT CRUZ,04 Shopko Way,(972) 471-4420
ID000121,112-24-4907,TIMOTHY HARRISON,04099 Anhalt Place,(214) 849-7879
ID000122,593-24-8597,RONALD PHILLIPS,4632 Brentwood Hill,(469) 945-4638
ID000123,152-06-9743,ANTONIO BISHOP,212 Memorial Lane,(469) 835-8047
ID000124,917-73-0651,HOWARD GREEN,9 Florence Trail,(214) 875-8195
ID000125,550-66-4068,WILLIE MURPHY,09 Loeprich Parkway,(214) 954-5495
ID000126,151-32-0622,CHRISTINE WASHINGTON,95086 Eliot Alley,(469) 844-5383
ID000127,363-52-9311,ANGELA ELLIS,61 Chinook Avenue,(469) 912-7557
ID000128,498-97-9543,KATHY WAGNER,1 Columbus Crossing,(214) 958-2980
ID000129,109-59-3700,ANTONIO CARR,6996 Arizona Avenue,(469) 724-0803
ID000130,919-11-7074,SAMUEL ELLIS,69968 Meadow Ridge Alley,(469) 957-8249
ID000131,532-19-3189,BRUCE WILLIAMSON,51 Maywood Place,(214) 969-6651
ID000132,186-61-2257,RUBY MCDONALD,031 Ohio Lane,(214) 970-5621
ID000133,758-82-0981,JACK LARSON,43086 Dexter Way,(469) 913-6292
ID000134,789-85-0156,TAMMY HUNTER,08 Marquette Pass,(214) 919-0495
ID000135,144-61-2857,MILDRED RICHARDS,6863 Warbler Crossing,(469) 636-7310
ID000136,812-34-4775,JANET DIXON,1 Ridgeway Terrace,(972) 381-9665
ID000137,605-13-5959,ANTONIO HAMILTON,2545 Lerdahl Center,(214) 886-6681
ID000138,873-83-1740,LOUISE JORDAN,7326 Reindahl Point,(972) 518-9421
ID000139,992-25-4077,LINDA HUNT,710 Lighthouse Bay Point,(972) 754-7045
ID000140,222-46-0064,JOAN WEBB,90 Bashford Avenue,(469) 955-0632
ID000141,135-71-1523,KEVIN FRAZIER,47 Bluejay Hill,(972) 965-3683
ID000142,490-88-8407,TODD SCHMIDT,4 Lakeland Pass,(214) 903-6828
ID000143,797-95-4607,ANDREA SIMS,898 Killdeer Pass,(469) 988-0761
ID000144,959-24-3477,BARBARA BROOKS,305 Mendota Plaza,(469) 958-8251
ID000145,600-79-0040,KENNETH ANDERSON,246 Shopko Drive,(972) 998-5406
ID000146,704-59-6830,JESSICA KNIGHT,36 Forest Park,(469) 961-0488
ID000147,542-87-9344,DOROTHY ADAMS,2483 Melody Plaza,(972) 881-8472
ID000148,634-80-8812,PHILLIP ADAMS,4 Derek Point,(972) 918-0335
ID000149,599-72-6050,JAMES CARPENTER,6668 Ilene Court,(214) 820-8276
ID000150,751-57-0699,AMY LOPEZ,715 Westend Avenue,(469) 830-1019
ID000151,570-71-9526,FRANK GOMEZ,61280 Mallory Parkway,(214) 962-2973
ID000152,585-65-8864,DEBRA ROGERS,4 Southridge Place,(469) 753-7894
ID000153,784-42-3645,AARON CHAPMAN,840 Messerschmidt Plaza,(972) 753-3651
ID000154,327-00-2811,JERRY CRUZ,48314 Muir Crossing,(214) 973-8302
ID000155,209-64-5805,GERALD MCCOY,71113 Corry Circle,(469) 758-3820
ID000156,352-52-5321,MATTHEW WARD,3726 Oneill Terrace,(972) 668-2488
ID000157,312-33-6562,MARILYN ANDREWS,61664 Warrior Street,(972) 831-4215
ID000158,585-35-8539,LAWRENCE COLEMAN,0 Scoville Plaza,(469) 987-3187
ID000159,766-72-6736,SARAH BURTON,65230 Prairie Rose Point,(972) 736-0106
ID000160,519-22-1664,GERALD WHITE,82 Delaware Plaza,(214) 774-5757
ID000161,811-23-2706,SHAWN ROBERTSON,9 Troy Alley,(214) 943-9366
ID000162,983-17-1073,SAMUEL ARNOLD,1748 Monterey Road,(469) 741-5231
ID000163,153-09-5087,RUBY MCDONALD,00621 Killdeer Crossing,(469) 941-5043
ID000164,208-16-2580,LILLIAN KIM,47585 Nova Drive,(214) 740-2312
ID000165,604-54-4201,PAMELA BRADLEY,2 Lakewood Gardens Place,(469) 871-3326
ID000166,764-51-2571,RALPH CHAVEZ,15739 Vera Plaza,(214) 598-5319
ID000167,102-72-1991,MARTIN RICHARDS,8 New Castle Trail,(469) 976-0263
ID000168,743-82-1324,CHRIS SIMMONS,46833 Farmco Junction,(469) 810-0333
ID000169,915-27-6165,MARTIN STEVENS,573 Oneill Hill,(469) 570-2393
ID000170,615-68-8488,LISA WEST,55586 Ronald Regan Lane,(972) 998-4345
ID000171,538-66-1965,DANIEL MARSHALL,3 Manitowish Crossing,(469) 730-4725
ID000172,981-95-3778,JOHN HICKS,81 Northfield Place,(972) 727-1591
ID000173,802-73-6786,ROGER HARRISON,9 Meadow Vale Drive,(469) 941-5954
ID000174,777-08-7277,TERESA THOMPSON,06364 Gerald Street,(972) 670-1547
ID000175,445-90-2407,ARTHUR FREEMAN,51652 Russell Street,(469) 994-4509
ID000176,909-02-3006,HOWARD SIMPSON,95 Redwing Lane,(972) 910-0392
ID000177,790-10-1835,CHRISTOPHER SPENCER,6 Northfield Crossing,(214) 821-9650
ID000178,847-64-1856,THERESA WOOD,0420 Westport Circle,(469) 994-1901
ID000179,930-97-8594,LILLIAN WRIGHT,82972 Raven Road,(972) 960-5502
ID000180,823-59-4050,SARA ROGERS,7 Twin Pines Circle,(214) 984-5323
ID000181,831-37-2302,LINDA RICHARDS,046 Harper Center,(214) 998-2489
ID000182,139-70-8042,ALBERT CUNNINGHAM,414 Summer Ridge Trail,(972) 716-3924
ID000183,611-16-9228,DEBRA HOLMES,22 Bluejay Road,(972) 954-8773
ID000184,248-33-5177,JASON DAVIS,82931 Cardinal Junction,(214) 969-9787
ID000185,399-38-8513,JUSTIN FOWLER,1958 Leroy Way,(972) 915-2410
ID000186,515-58-4650,CATHERINE HARRIS,4091 Doe Crossing Alley,(469) 968-7984
ID000187,911-94-6409,GARY REYES,06 Shelley Parkway,(972) 985-2014
ID000188,952-37-2293,CLARENCE HARVEY,637 Blackbird Crossing,(972) 735-8046
ID000189,866-26-3470,KATHLEEN LYNCH,0 Northview Center,(469) 858-9821
ID000190,696-87-1283,ANGELA MYERS,07 Jenifer Point,(214) 996-3258
ID000191,525-30-0056,PAULA ROBERTS,2025 Annamark Court,(214) 919-1512
ID000192,455-25-1300,MARIE HUDSON,35523 Fulton Point,(972) 955-0047
ID000193,300-83-3012,VICTOR GEORGE,16 Butterfield Place,(469) 982-0024
ID000194,568-53-7223,JUDITH LANE,59463 Havey Center,(469) 962-1701
ID000195,219-13-1583,STEVEN CARPENTER,64 Rutledge Court,(972) 759-2760
ID000196,628-41-9882,BEVERLY WELCH,0 7th Point,(214) 758-2027
ID000197,553-83-0248,CHRIS COX,386 Coleman Avenue,(214) 902-1149
ID000198,664-42-3811,HEATHER DUNCAN,3 Acker Avenue,(972) 906-2444
ID000199,932-05-2280,HELEN COOPER,90887 Ohio Trail,(214) 723-9307
ID000200,359-15-6568,LINDA DIXON,0506 Boyd Plaza,(214) 940-0096
ID000201,377-03-6374,ERIC WOOD,730 Bonner Hill,(972) 959-7132
ID000202,956-77-5994,BRENDA BROOKS,4 Pennsylvania Hill,(972) 960-5440
ID000203,262-72-9956,FRED CRAWFORD,00 Mariners Cove Terrace,(972) 978-1543
ID000204,935-26-1044,ALAN MORRIS,2238 Debra Center,(469) 701-3591
ID000205,575-57-3479,JIMMY WATKINS,91873 Colorado Crossing,(469) 933-3579
ID000206,534-35-2839,KEITH FISHER,2 Muir Crossing,(972) 999-1883
ID000207,487-48-3434,ROSE OLIVER,3152 Thackeray Point,(214) 971-9384
ID000208,282-19-5051,JOHNNY VASQUEZ,809 Grover Circle,(972) 843-5554
ID000209,198-52-6239,JUDITH DUNN,337 Northview Point,(972) 999-1156
ID000210,165-45-3343,ROGER FREEMAN,13 Farmco Way,(469) 854-9842
ID000211,983-87-0005,RICHARD BAILEY,3108 Browning Park,(214) 718-0392
ID000212,387-20-1613,ERNEST PALMER,66600 Pleasure Drive,(214) 238-1120
ID000213,440-22-0860,JANICE LONG,26577 Laurel Road,(214) 972-0889
ID000214,589-60-2564,THOMAS SCHMIDT,0 New Castle Crossing,(469) 745-9014
ID000215,564-07-7138,KATHRYN HAYES,18504 Basil Hill,(469) 831-7793
ID000216,106-58-8800,CHRIS PERKINS,14865 John Wall Center,(972) 957-3368
ID000217,664-12-8122,THOMAS SCOTT,449 Schurz Parkway,(469) 914-5396
ID000218,394-69-4479,JUDY RICHARDS,9420 Main Hill,(469) 871-8324
ID000219,977-89-1063,JANICE GARRETT,2998 Chive Place,(214) 809-6943
ID000220,720-12-0662,RAYMOND PETERSON,892 Fairfield Point,(469) 947-5199
ID000221,344-03-8015,MARILYN WILLIAMS,0 John Wall Circle,(214) 992-8183
ID000222,166-80-9145,TERESA REID,9224 Manufacturers Terrace,(972) 457-6436
ID000223,628-54-4529,IRENE MEDINA,51 Southridge Pass,(972) 994-3852
ID000224,763-92-5219,LINDA CARPENTER,43 Dovetail Road,(972) 866-8440
ID000225,468-30-6717,JONATHAN HARRISON,113 Havey Crossing,(469) 900-2769
ID000226,716-63-5871,LAURA GRAHAM,72346 Emmet Place,(469) 892-4249
ID000227,462-64-8746,SHARON PIERCE,9 Clove Trail,(972) 930-5410
ID000228,890-27-4530,KATHERINE BOYD,90 Park Meadow Junction,(214) 652-5153
ID000229,875-97-7822,BRIAN PERKINS,5988 Havey Street,(972) 973-2502
ID000230,867-84-8327,ERIC COOPER,7 Granby Road,(972) 970-2642
ID000231,907-94-1254,RANDY STANLEY,94552 Linden Court,(972) 815-8835
ID000232,319-59-2633,PAMELA GUTIERREZ,50236 Goodland Lane,(972) 968-2569
ID000233,145-92-8000,KEITH PERKINS,9543 Farragut Road,(214) 804-0599
ID000234,361-70-3782,SCOTT SPENCER,5 Lukken Junction,(214) 701-4621
ID000235,992-96-4866,TODD BRYANT,418 Onsgard Hill,(214) 980-7359
ID000236,916-54-8159,JOSE ANDERSON,2705 Ohio Junction,(214) 530-2752
ID000237,133-83-4824,AMANDA DAVIS,1636 Norway Maple Place,(469) 913-5733
ID000238,712-12-8661,RICHARD CRUZ,69 Marquette Park,(469) 902-7741
ID000239,325-77-2883,SARA WALKER,18924 3rd Circle,(972) 932-7544
ID000240,974-70-9717,GLORIA SANDERS,36961 Green Ridge Place,(214) 937-3306
ID000241,584-04-3187,JONATHAN HARRIS,286 Merry Way,(469) 873-4473
ID000242,152-31-3951,JUAN FIELDS,291 Marquette Parkway,(972) 916-7303
ID000243,950-88-3244,WANDA MILLS,79024 Surrey Way,(469) 920-6298
ID000244,315-12-0643,KAREN DAVIS,83 Holy Cross Drive,(972) 890-5755
ID000245,328-21-2988,SCOTT MONTGOMERY,96247 Oriole Circle,(972) 929-5312
ID000246,752-03-8294,MICHAEL STEVENS,356 Shoshone Drive,(469) 803-5017
ID000247,223-10-5941,ANDREA BAKER,90 Heath Drive,(469) 930-1109
ID000248,383-36-2902,MARILYN ALEXANDER,443 Dottie Circle,(972) 406-2617
ID000249,556-96-7003,HARRY ALVAREZ,636 Express Way,(214) 954-5716
ID000250,760-25-1865,ROSE PETERSON,034 Shelley Drive,(972) 861-4171
ID000251,196-06-0978,BARBARA GARCIA,5690 Acker Road,(469) 517-8843
ID000252,140-56-2974,ANN BERRY,37940 Morning Hill,(972) 918-7984
ID000253,493-92-4232,PAUL TURNER,75287 Pleasure Place,(972) 782-6768
ID000254,353-18-9662,THERESA DAY,9 American Ash Crossing,(972) 909-4722
ID000255,926-42-8995,ANDREW GILBERT,8 American Parkway,(972) 834-2804
ID000256,741-11-7814,ALICE TURNER,4 Namekagon Lane,(214) 660-6741
ID000257,700-23-8477,JULIE SMITH,61345 Namekagon Place,(469) 861-2346
ID000258,390-30-8158,ALICE CARR,7564 Ohio Plaza,(214) 549-1687
ID000259,941-05-7192,HARRY BAKER,7 Straubel Center,(469) 590-5412
ID000260,949-37-6371,DONNA COOPER,1629 Summer Ridge Plaza,(469) 957-3027
ID000261,947-04-7262,LAURA ROGERS,7776 Summer Ridge Court,(972) 730-7675
ID000262,443-61-5562,JESSICA HICKS,17138 Ryan Circle,(469) 815-6162
ID000263,428-09-7397,GEORGE TURNER,4 Quincy Pass,(214) 958-2175
ID000264,354-53-8826,JOAN WATKINS,9601 Lerdahl Pass,(214) 814-9170
ID000265,757-21-3141,ANDREA GONZALEZ,127 Russell Hill,(972) 809-5959
ID000266,924-17-9942,BILLY LITTLE,46 Autumn Leaf Junction,(972) 986-6001
ID000267,778-68-6617,TERESA MARSHALL,2 Sheridan Trail,(469) 884-2394
ID000268,431-20-0144,BENJAMIN LYNCH,53 Tennyson Park,(469) 877-9851
ID000269,851-35-0300,NANCY DIXON,4 Dwight Street,(972) 770-3641
ID000270,583-40-6101,JEAN DUNN,4 North Street,(469) 995-6149
ID000271,125-98-5061,ANTHONY GARDNER,9823 Donald Terrace,(972) 432-3180
ID000272,750-84-1386,BENJAMIN MORRISON,21 Oriole Terrace,(214) 409-6322
ID000273,319-09-3742,ANNE DIXON,9579 Browning Crossing,(972) 907-6080
ID000274,585-90-0674,DENISE WALLACE,6021 Portage Park,(972) 940-4355
ID000275,416-38-3510,LINDA OWENS,13 Monterey Alley,(214) 836-3577
ID000276,614-68-5656,LARRY WARREN,2657 Mitchell Hill,(972) 938-7212
ID000277,984-48-8111,EDWARD HUNT,6 Claremont Avenue,(972) 763-1900
ID000278,446-20-4077,HARRY MCDONALD,22283 Farragut Place,(214) 873-3156
ID000279,154-67-1759,LAWRENCE WELLS,841 Delaware Place,(214) 976-7034
ID000280,218-70-1729,MARTIN FULLER,53309 Buhler Place,(469) 667-3361
ID000281,685-99-2971,ROGER ELLIS,74213 Charing Cross Circle,(972) 976-7863
ID000282,551-99-0871,PATRICK MORENO,490 Rockefeller Lane,(972) 955-5269
ID000283,156-64-6797,ANDREW COLE,30 Sunfield Pass,(214) 879-7342
ID000284,704-85-7803,JOAN HUDSON,4 Everett Court,(214) 954-1417
ID000285,491-79-6292,CHRIS POWELL,4 Jenifer Circle,(469) 726-7925
ID000286,164-90-8064,ANNA PEREZ,1241 Graceland Court,(469) 996-2325
ID000287,857-94-0950,DEBRA GRAY,251 Monterey Hill,(469) 973-4499
ID000288,581-46-2753,ANNIE SHAW,561 Cody Crossing,(214) 764-1587
ID000289,300-46-8310,SHAWN MARTINEZ,19 Lunder Park,(469) 986-4161
ID000290,691-97-1438,MARY GRAHAM,701 Cordelia Court,(214) 687-0840
ID000291,239-90-4011,JANET WEST,2308 Division Center,(214) 978-0541
ID000292,702-60-4201,AARON ARNOLD,5886 Banding Trail,(214) 955-5863
ID000293,253-17-0796,JUSTIN BROWN,611 Green Plaza,(214) 901-6023
ID000294,547-06-9057,GEORGE TORRES,64206 Calypso Hill,(972) 925-4199
ID000295,722-28-9325,BRIAN ROMERO,4418 Green Ridge Terrace,(469) 825-9159
ID000296,488-01-1020,LAWRENCE MORRIS,42 Magdeline Pass,(214) 942-2979
ID000297,947-93-9771,PATRICK GARCIA,1 Nevada Parkway,(469) 827-6118
ID000298,708-32-6866,ASHLEY MORENO,067 Morning Park,(469) 869-6226
ID000299,421-79-0842,AARON ELLIS,1925 Grasskamp Alley,(469) 937-9272
ID000300,554-28-3296,JIMMY JAMES,3 Knutson Way,(972) 930-8175
ID000301,271-28-4504,MARIA TORRES,56168 Arizona Drive,(214) 931-8328
ID000302,453-78-4845,CHRIS OWENS,6 Browning Park,(972) 701-4889
ID000303,556-27-9759,ELIZABETH HARVEY,1995 Nelson Park,(972) 992-9375
ID000304,212-61-9406,JANE BAKER,0062 Sunbrook Junction,(469) 754-6653
ID000305,142-06-8429,LISA KELLEY,272 Larry Drive,(469) 930-6637
ID000306,205-62-6313,JONATHAN DIAZ,18283 Brown Center,(469) 940-2479
ID000307,592-93-9926,MILDRED ALLEN,5734 La Follette Point,(469) 946-2268
ID000308,714-97-1208,LINDA ROGERS,0590 Northport Drive,(972) 947-1564
ID000309,949-18-1878,GARY GARRETT,5285 2nd Court,(469) 939-2476
ID000310,454-36-5067,EARL HALL,7755 Park Meadow Way,(214) 882-0672
ID000311,586-20-4125,BENJAMIN BAILEY,72101 Elmside Parkway,(214) 896-3364
ID000312,853-10-4620,ANGELA GRAHAM,5 High Crossing Crossing,(972) 878-1468
ID000313,132-68-7899,DENNIS HUNTER,7 2nd Place,(469) 967-8745
ID000314,618-21-2736,MATTHEW STEVENS,9603 Hansons Way,(469) 861-3808
ID000315,852-75-0048,ANNIE FREEMAN,7466 Gulseth Alley,(972) 921-0146
ID000316,652-37-4979,RICHARD LAWSON,792 Dottie Circle,(214) 545-9387
ID000317,953-35-3551,SUSAN ALLEN,6 Morrow Alley,(214) 748-0451
ID000318,269-55-4900,ROSE COLEMAN,26094 Loomis Alley,(469) 819-2212
ID000319,398-57-5624,KATHY ELLIOTT,28 Boyd Pass,(469) 996-0439
ID000320,769-13-6801,TERESA BROOKS,57699 Oak Circle,(972) 731-4160
ID000321,781-65-2211,JULIE LANE,8261 Magdeline Road,(214) 930-8339
ID000322,880-14-5596,JESSICA DAY,80 Cascade Junction,(214) 947-1788
ID000323,472-47-3959,BILLY CRUZ,75 Mosinee Court,(214) 797-5929
ID000324,628-10-4874,MARTHA MCCOY,74 Claremont Park,(214) 915-1572
ID000325,799-41-8699,FRANCES LONG,0 Schlimgen Alley,(214) 951-4800
ID000326,826-57-4791,CAROLYN DUNCAN,1 Merry Place,(214) 279-8556
ID000327,497-33-4483,RYAN MENDOZA,9 Myrtle Way,(214) 867-1887
ID000328,733-61-4241,JERRY OLIVER,0 Vera Alley,(469) 734-8276
ID000329,669-72-6189,JUAN SMITH,3 Dixon Parkway,(214) 909-9366
ID000330,867-23-4679,MARILYN WHITE,769 Mayfield Center,(972) 933-0968
ID000331,410-60-8961,ANNE MORENO,60 Raven Pass,(214) 886-0662
ID000332,381-83-9299,RUBY GREENE,328 Fallview Center,(214) 872-7995
